episode,tls_id,decisions,total_reward,mean_reward_per_decision,mean_loss,epsilon,net_arrived,net_mean_wait,wall_time_s
1,3153556582,121,-220.35,-1.8211,0.4426,0.977,,,
1,53141735,121,-178.60,-1.4760,0.4027,0.977,,,
1,53254289,121,-173.55,-1.4343,0.2360,0.977,,,
1,7953710843,121,-28.60,-0.2364,0.0103,0.977,,,
1,cluster_10209828640_53148675,121,-41.63,-0.3440,0.0319,0.977,,,
1,cluster_1804700800_53129739,121,-287.21,-2.3736,0.5972,0.977,,,
1,cluster_3648303878_5019372006_7625804229_7625804230,121,-284.36,-2.3501,0.2894,0.977,,,
1,cluster_4245960164_4245960168_4245960171,121,-49.40,-0.4083,0.0844,0.977,,,
1,cluster_5019371995_53129841,121,-221.40,-1.8298,0.7145,0.977,,,
1,cluster_5019372000_53129844,121,-266.19,-2.1999,0.7854,0.977,,,
1,cluster_5019372003_53129846,121,-168.34,-1.3913,0.5430,0.977,,,
1,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-442.78,-3.6593,1.1365,0.977,,,
1,__network__,121,-2362.41,-19.5240,,0.977,1193,22084.90,38.8
2,3153556582,121,-221.95,-1.8343,0.2439,0.955,,,
2,53141735,121,-233.53,-1.9300,0.2543,0.955,,,
2,53254289,121,-223.80,-1.8496,0.2196,0.955,,,
2,7953710843,121,-28.60,-0.2364,0.0078,0.955,,,
2,cluster_10209828640_53148675,121,-83.48,-0.6899,0.0168,0.955,,,
2,cluster_1804700800_53129739,121,-299.08,-2.4717,0.1049,0.955,,,
2,cluster_3648303878_5019372006_7625804229_7625804230,121,-202.15,-1.6707,0.0822,0.955,,,
2,cluster_4245960164_4245960168_4245960171,121,-50.00,-0.4132,0.0740,0.955,,,
2,cluster_5019371995_53129841,121,-251.08,-2.0751,0.2261,0.955,,,
2,cluster_5019372000_53129844,121,-113.13,-0.9349,0.2082,0.955,,,
2,cluster_5019372003_53129846,121,-183.03,-1.5126,0.0927,0.955,,,
2,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-441.07,-3.6452,0.5686,0.955,,,
2,__network__,121,-2330.90,-19.2636,,0.955,1202,20483.55,42.1
3,3153556582,121,-179.87,-1.4866,0.1504,0.932,,,
3,53141735,121,-339.43,-2.8052,0.2640,0.932,,,
3,53254289,121,-119.75,-0.9897,0.1812,0.932,,,
3,7953710843,121,-25.00,-0.2066,0.0069,0.932,,,
3,cluster_10209828640_53148675,121,-87.85,-0.7260,0.0179,0.932,,,
3,cluster_1804700800_53129739,121,-274.72,-2.2704,0.0675,0.932,,,
3,cluster_3648303878_5019372006_7625804229_7625804230,121,-236.67,-1.9560,0.0848,0.932,,,
3,cluster_4245960164_4245960168_4245960171,121,-83.40,-0.6893,0.0843,0.932,,,
3,cluster_5019371995_53129841,121,-157.03,-1.2978,0.1934,0.932,,,
3,cluster_5019372000_53129844,121,-161.70,-1.3364,0.1555,0.932,,,
3,cluster_5019372003_53129846,121,-211.90,-1.7512,0.0644,0.932,,,
3,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-458.35,-3.7880,0.3245,0.932,,,
3,__network__,121,-2335.69,-19.3032,,0.932,1260,23754.38,41.3
4,3153556582,121,-242.22,-2.0019,0.1225,0.909,,,
4,53141735,121,-327.43,-2.7061,0.2453,0.909,,,
4,53254289,121,-78.20,-0.6463,0.1211,0.909,,,
4,7953710843,121,-25.70,-0.2124,0.0069,0.909,,,
4,cluster_10209828640_53148675,121,-72.80,-0.6017,0.0200,0.909,,,
4,cluster_1804700800_53129739,121,-264.19,-2.1834,0.0603,0.909,,,
4,cluster_3648303878_5019372006_7625804229_7625804230,121,-159.72,-1.3200,0.0567,0.909,,,
4,cluster_4245960164_4245960168_4245960171,121,-22.80,-0.1884,0.0916,0.909,,,
4,cluster_5019371995_53129841,121,-230.60,-1.9058,0.1554,0.909,,,
4,cluster_5019372000_53129844,121,-154.03,-1.2730,0.1734,0.909,,,
4,cluster_5019372003_53129846,121,-180.33,-1.4903,0.0476,0.909,,,
4,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-441.74,-3.6507,0.2809,0.909,,,
4,__network__,121,-2199.77,-18.1799,,0.909,1393,14075.90,41.4
5,3153556582,121,-249.70,-2.0636,0.2148,0.886,,,
5,53141735,121,-228.97,-1.8923,0.3793,0.886,,,
5,53254289,121,-86.30,-0.7132,0.1570,0.886,,,
5,7953710843,121,-28.20,-0.2331,0.0091,0.886,,,
5,cluster_10209828640_53148675,121,-38.10,-0.3149,0.0275,0.886,,,
5,cluster_1804700800_53129739,121,-283.32,-2.3415,0.1585,0.886,,,
5,cluster_3648303878_5019372006_7625804229_7625804230,121,-193.49,-1.5991,0.1239,0.886,,,
5,cluster_4245960164_4245960168_4245960171,121,-57.60,-0.4760,0.1068,0.886,,,
5,cluster_5019371995_53129841,121,-141.07,-1.1658,0.2156,0.886,,,
5,cluster_5019372000_53129844,121,-145.34,-1.2012,0.1306,0.886,,,
5,cluster_5019372003_53129846,121,-238.16,-1.9682,0.0872,0.886,,,
5,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-438.40,-3.6231,0.4096,0.886,,,
5,__network__,121,-2128.64,-17.5921,,0.886,1176,24808.80,41.2
6,3153556582,121,-190.55,-1.5748,0.2013,0.863,,,
6,53141735,121,-193.57,-1.5997,0.3631,0.863,,,
6,53254289,121,-61.75,-0.5103,0.1552,0.863,,,
6,7953710843,121,-22.90,-0.1893,0.0111,0.863,,,
6,cluster_10209828640_53148675,121,-113.37,-0.9370,0.0351,0.863,,,
6,cluster_1804700800_53129739,121,-236.84,-1.9574,0.0846,0.863,,,
6,cluster_3648303878_5019372006_7625804229_7625804230,121,-188.36,-1.5567,0.1289,0.863,,,
6,cluster_4245960164_4245960168_4245960171,121,-57.40,-0.4744,0.1248,0.863,,,
6,cluster_5019371995_53129841,121,-237.20,-1.9603,0.1896,0.863,,,
6,cluster_5019372000_53129844,121,-199.57,-1.6494,0.1039,0.863,,,
6,cluster_5019372003_53129846,121,-157.76,-1.3038,0.0786,0.863,,,
6,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-440.77,-3.6427,0.1993,0.863,,,
6,__network__,121,-2100.05,-17.3558,,0.863,1477,14811.92,40.7
7,3153556582,121,-145.70,-1.2041,0.1905,0.841,,,
7,53141735,121,-343.07,-2.8353,0.3382,0.841,,,
7,53254289,121,-88.30,-0.7298,0.1213,0.841,,,
7,7953710843,121,-29.80,-0.2463,0.0109,0.841,,,
7,cluster_10209828640_53148675,121,-73.75,-0.6095,0.0323,0.841,,,
7,cluster_1804700800_53129739,121,-311.87,-2.5774,0.0713,0.841,,,
7,cluster_3648303878_5019372006_7625804229_7625804230,121,-271.09,-2.2404,0.1216,0.841,,,
7,cluster_4245960164_4245960168_4245960171,121,-18.20,-0.1504,0.1098,0.841,,,
7,cluster_5019371995_53129841,121,-106.92,-0.8836,0.1965,0.841,,,
7,cluster_5019372000_53129844,121,-154.83,-1.2796,0.1194,0.841,,,
7,cluster_5019372003_53129846,121,-133.56,-1.1038,0.0594,0.841,,,
7,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-637.88,-5.2717,0.2335,0.841,,,
7,__network__,121,-2314.95,-19.1318,,0.841,877,72506.33,41.5
8,3153556582,121,-155.52,-1.2853,0.1990,0.818,,,
8,53141735,121,-142.57,-1.1782,0.3144,0.818,,,
8,53254289,121,-64.00,-0.5289,0.1134,0.818,,,
8,7953710843,121,-25.50,-0.2107,0.0110,0.818,,,
8,cluster_10209828640_53148675,121,-95.45,-0.7888,0.0332,0.818,,,
8,cluster_1804700800_53129739,121,-231.80,-1.9157,0.0689,0.818,,,
8,cluster_3648303878_5019372006_7625804229_7625804230,121,-164.09,-1.3561,0.1256,0.818,,,
8,cluster_4245960164_4245960168_4245960171,121,-37.40,-0.3091,0.1055,0.818,,,
8,cluster_5019371995_53129841,121,-270.45,-2.2351,0.1937,0.818,,,
8,cluster_5019372000_53129844,121,-168.47,-1.3923,0.1318,0.818,,,
8,cluster_5019372003_53129846,121,-197.07,-1.6287,0.0537,0.818,,,
8,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-400.20,-3.3074,0.6905,0.818,,,
8,__network__,121,-1952.52,-16.1365,,0.818,1535,10812.56,40.7
9,3153556582,121,-178.25,-1.4731,0.2021,0.795,,,
9,53141735,121,-178.20,-1.4727,0.4050,0.795,,,
9,53254289,121,-73.50,-0.6074,0.1346,0.795,,,
9,7953710843,121,-21.10,-0.1744,0.0118,0.795,,,
9,cluster_10209828640_53148675,121,-58.30,-0.4818,0.0450,0.795,,,
9,cluster_1804700800_53129739,121,-265.13,-2.1912,0.1361,0.795,,,
9,cluster_3648303878_5019372006_7625804229_7625804230,121,-199.50,-1.6488,0.1669,0.795,,,
9,cluster_4245960164_4245960168_4245960171,121,-63.20,-0.5223,0.1153,0.795,,,
9,cluster_5019371995_53129841,121,-226.75,-1.8740,0.2300,0.795,,,
9,cluster_5019372000_53129844,121,-105.01,-0.8679,0.1258,0.795,,,
9,cluster_5019372003_53129846,121,-165.94,-1.3714,0.0838,0.795,,,
9,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-400.76,-3.3120,0.6236,0.795,,,
9,__network__,121,-1935.65,-15.9971,,0.795,1375,15021.04,41.0
10,3153556582,121,-99.47,-0.8221,0.2446,0.772,,,
10,53141735,121,-335.83,-2.7755,0.5038,0.772,,,
10,53254289,121,-60.55,-0.5004,0.1548,0.772,,,
10,7953710843,121,-24.50,-0.2025,0.0155,0.772,,,
10,cluster_10209828640_53148675,121,-67.78,-0.5601,0.0584,0.772,,,
10,cluster_1804700800_53129739,121,-328.43,-2.7143,0.1321,0.772,,,
10,cluster_3648303878_5019372006_7625804229_7625804230,121,-191.00,-1.5785,0.2046,0.772,,,
10,cluster_4245960164_4245960168_4245960171,121,-25.80,-0.2132,0.1408,0.772,,,
10,cluster_5019371995_53129841,121,-137.50,-1.1364,0.2412,0.772,,,
10,cluster_5019372000_53129844,121,-141.34,-1.1681,0.1304,0.772,,,
10,cluster_5019372003_53129846,121,-173.61,-1.4348,0.0886,0.772,,,
10,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-746.59,-6.1702,0.4911,0.772,,,
10,__network__,121,-2332.41,-19.2762,,0.772,811,91834.21,41.8
11,3153556582,121,-169.35,-1.3996,0.2169,0.749,,,
11,53141735,121,-287.00,-2.3719,0.4383,0.749,,,
11,53254289,121,-77.45,-0.6401,0.1340,0.749,,,
11,7953710843,121,-25.20,-0.2083,0.0150,0.749,,,
11,cluster_10209828640_53148675,121,-108.30,-0.8950,0.0580,0.749,,,
11,cluster_1804700800_53129739,121,-256.83,-2.1226,0.1388,0.749,,,
11,cluster_3648303878_5019372006_7625804229_7625804230,121,-173.17,-1.4312,0.1747,0.749,,,
11,cluster_4245960164_4245960168_4245960171,121,-29.40,-0.2430,0.1366,0.749,,,
11,cluster_5019371995_53129841,121,-194.62,-1.6084,0.2180,0.749,,,
11,cluster_5019372000_53129844,121,-121.07,-1.0006,0.1049,0.749,,,
11,cluster_5019372003_53129846,121,-154.39,-1.2759,0.0744,0.749,,,
11,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-476.77,-3.9402,0.5850,0.749,,,
11,__network__,121,-2073.55,-17.1368,,0.749,1325,21454.06,40.7
12,3153556582,121,-152.57,-1.2610,0.2299,0.726,,,
12,53141735,121,-346.03,-2.8598,0.4221,0.726,,,
12,53254289,121,-69.50,-0.5744,0.1255,0.726,,,
12,7953710843,121,-23.60,-0.1950,0.0148,0.726,,,
12,cluster_10209828640_53148675,121,-162.80,-1.3455,0.0640,0.726,,,
12,cluster_1804700800_53129739,121,-202.46,-1.6732,0.1120,0.726,,,
12,cluster_3648303878_5019372006_7625804229_7625804230,121,-208.84,-1.7259,0.1677,0.726,,,
12,cluster_4245960164_4245960168_4245960171,121,-35.60,-0.2942,0.1398,0.726,,,
12,cluster_5019371995_53129841,121,-129.15,-1.0674,0.2073,0.726,,,
12,cluster_5019372000_53129844,121,-126.01,-1.0414,0.1037,0.726,,,
12,cluster_5019372003_53129846,121,-183.79,-1.5189,0.0746,0.726,,,
12,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-378.64,-3.1293,0.6214,0.726,,,
12,__network__,121,-2018.99,-16.6859,,0.726,1423,23260.81,41.1
13,3153556582,121,-149.25,-1.2335,0.2186,0.704,,,
13,53141735,121,-236.23,-1.9523,0.4629,0.704,,,
13,53254289,121,-62.30,-0.5149,0.1290,0.704,,,
13,7953710843,121,-23.50,-0.1942,0.0155,0.704,,,
13,cluster_10209828640_53148675,121,-153.60,-1.2694,0.0770,0.704,,,
13,cluster_1804700800_53129739,121,-205.23,-1.6961,0.1494,0.704,,,
13,cluster_3648303878_5019372006_7625804229_7625804230,121,-241.50,-1.9959,0.1796,0.704,,,
13,cluster_4245960164_4245960168_4245960171,121,-20.60,-0.1702,0.1357,0.704,,,
13,cluster_5019371995_53129841,121,-125.67,-1.0386,0.2138,0.704,,,
13,cluster_5019372000_53129844,121,-117.11,-0.9679,0.1058,0.704,,,
13,cluster_5019372003_53129846,121,-212.26,-1.7542,0.0890,0.704,,,
13,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-392.49,-3.2437,0.6035,0.704,,,
13,__network__,121,-1939.75,-16.0310,,0.704,1356,25076.40,41.0
14,3153556582,121,-154.52,-1.2771,0.2330,0.681,,,
14,53141735,121,-285.27,-2.3576,0.6125,0.681,,,
14,53254289,121,-71.45,-0.5905,0.1713,0.681,,,
14,7953710843,121,-21.40,-0.1769,0.0179,0.681,,,
14,cluster_10209828640_53148675,121,-204.87,-1.6932,0.1148,0.681,,,
14,cluster_1804700800_53129739,121,-199.32,-1.6473,0.1958,0.681,,,
14,cluster_3648303878_5019372006_7625804229_7625804230,121,-236.30,-1.9529,0.2898,0.681,,,
14,cluster_4245960164_4245960168_4245960171,121,-50.40,-0.4165,0.1592,0.681,,,
14,cluster_5019371995_53129841,121,-150.97,-1.2477,0.2644,0.681,,,
14,cluster_5019372000_53129844,121,-98.34,-0.8128,0.1316,0.681,,,
14,cluster_5019372003_53129846,121,-203.40,-1.6810,0.1157,0.681,,,
14,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-302.57,-2.5006,0.5353,0.681,,,
14,__network__,121,-1978.82,-16.3538,,0.681,1449,19790.78,40.4
15,3153556582,121,-128.22,-1.0597,0.2260,0.658,,,
15,53141735,121,-218.00,-1.8017,0.5107,0.658,,,
15,53254289,121,-54.20,-0.4479,0.1445,0.658,,,
15,7953710843,121,-19.20,-0.1587,0.0177,0.658,,,
15,cluster_10209828640_53148675,121,-133.42,-1.1027,0.1302,0.658,,,
15,cluster_1804700800_53129739,121,-166.56,-1.3765,0.1863,0.658,,,
15,cluster_3648303878_5019372006_7625804229_7625804230,121,-183.10,-1.5132,0.2622,0.658,,,
15,cluster_4245960164_4245960168_4245960171,121,-21.20,-0.1752,0.1658,0.658,,,
15,cluster_5019371995_53129841,121,-131.97,-1.0906,0.2272,0.658,,,
15,cluster_5019372000_53129844,121,-119.54,-0.9880,0.1118,0.658,,,
15,cluster_5019372003_53129846,121,-155.46,-1.2848,0.1052,0.658,,,
15,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-391.26,-3.2336,0.4272,0.658,,,
15,__network__,121,-1722.13,-14.2325,,0.658,1530,14250.41,40.4
16,3153556582,121,-140.22,-1.1589,0.2197,0.635,,,
16,53141735,121,-218.23,-1.8036,0.5197,0.635,,,
16,53254289,121,-47.10,-0.3893,0.1463,0.635,,,
16,7953710843,121,-22.40,-0.1851,0.0165,0.635,,,
16,cluster_10209828640_53148675,121,-87.88,-0.7262,0.1244,0.635,,,
16,cluster_1804700800_53129739,121,-176.27,-1.4567,0.1727,0.635,,,
16,cluster_3648303878_5019372006_7625804229_7625804230,121,-171.80,-1.4198,0.2425,0.635,,,
16,cluster_4245960164_4245960168_4245960171,121,-17.60,-0.1455,0.1574,0.635,,,
16,cluster_5019371995_53129841,121,-156.47,-1.2931,0.2147,0.635,,,
16,cluster_5019372000_53129844,121,-80.66,-0.6666,0.1053,0.635,,,
16,cluster_5019372003_53129846,121,-144.86,-1.1972,0.0969,0.635,,,
16,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-436.85,-3.6103,0.4661,0.635,,,
16,__network__,121,-1700.33,-14.0523,,0.635,1649,8725.57,40.3
17,3153556582,121,-146.37,-1.2097,0.2126,0.612,,,
17,53141735,121,-268.37,-2.2179,0.5102,0.612,,,
17,53254289,121,-51.35,-0.4244,0.1361,0.612,,,
17,7953710843,121,-19.60,-0.1620,0.0173,0.612,,,
17,cluster_10209828640_53148675,121,-150.85,-1.2467,0.1238,0.612,,,
17,cluster_1804700800_53129739,121,-169.53,-1.4011,0.1733,0.612,,,
17,cluster_3648303878_5019372006_7625804229_7625804230,121,-220.40,-1.8215,0.2308,0.612,,,
17,cluster_4245960164_4245960168_4245960171,121,-29.00,-0.2397,0.1522,0.612,,,
17,cluster_5019371995_53129841,121,-139.97,-1.1567,0.2199,0.612,,,
17,cluster_5019372000_53129844,121,-99.01,-0.8183,0.1135,0.612,,,
17,cluster_5019372003_53129846,121,-196.27,-1.6221,0.0969,0.612,,,
17,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-382.10,-3.1579,0.4421,0.612,,,
17,__network__,121,-1872.83,-15.4779,,0.612,1472,20913.45,40.8
18,3153556582,121,-108.20,-0.8942,0.2479,0.590,,,
18,53141735,121,-144.17,-1.1915,0.7598,0.590,,,
18,53254289,121,-57.95,-0.4789,0.1651,0.590,,,
18,7953710843,121,-20.60,-0.1702,0.0157,0.590,,,
18,cluster_10209828640_53148675,121,-96.33,-0.7961,0.1613,0.590,,,
18,cluster_1804700800_53129739,121,-198.37,-1.6394,0.2818,0.590,,,
18,cluster_3648303878_5019372006_7625804229_7625804230,121,-229.67,-1.8981,0.3596,0.590,,,
18,cluster_4245960164_4245960168_4245960171,121,-48.80,-0.4033,0.1806,0.590,,,
18,cluster_5019371995_53129841,121,-141.38,-1.1685,0.2572,0.590,,,
18,cluster_5019372000_53129844,121,-86.33,-0.7135,0.1463,0.590,,,
18,cluster_5019372003_53129846,121,-104.63,-0.8647,0.1491,0.590,,,
18,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-383.50,-3.1694,0.5916,0.590,,,
18,__network__,121,-1619.92,-13.3878,,0.590,1777,8321.52,40.1
19,3153556582,121,-99.10,-0.8190,0.2426,0.567,,,
19,53141735,121,-191.70,-1.5843,0.6870,0.567,,,
19,53254289,121,-74.35,-0.6145,0.1746,0.567,,,
19,7953710843,121,-22.00,-0.1818,0.0157,0.567,,,
19,cluster_10209828640_53148675,121,-141.02,-1.1655,0.1439,0.567,,,
19,cluster_1804700800_53129739,121,-174.36,-1.4410,0.2046,0.567,,,
19,cluster_3648303878_5019372006_7625804229_7625804230,121,-190.20,-1.5719,0.3371,0.567,,,
19,cluster_4245960164_4245960168_4245960171,121,-41.20,-0.3405,0.1754,0.567,,,
19,cluster_5019371995_53129841,121,-121.52,-1.0043,0.2341,0.567,,,
19,cluster_5019372000_53129844,121,-109.54,-0.9053,0.1230,0.567,,,
19,cluster_5019372003_53129846,121,-229.46,-1.8963,0.1404,0.567,,,
19,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-393.40,-3.2513,0.4712,0.567,,,
19,__network__,121,-1787.85,-14.7756,,0.567,1478,21211.02,40.9
20,3153556582,121,-150.75,-1.2459,0.2305,0.544,,,
20,53141735,121,-243.90,-2.0157,0.6463,0.544,,,
20,53254289,121,-61.45,-0.5079,0.1572,0.544,,,
20,7953710843,121,-23.90,-0.1975,0.0151,0.544,,,
20,cluster_10209828640_53148675,121,-148.85,-1.2302,0.1495,0.544,,,
20,cluster_1804700800_53129739,121,-162.39,-1.3421,0.2040,0.544,,,
20,cluster_3648303878_5019372006_7625804229_7625804230,121,-183.31,-1.5150,0.2917,0.544,,,
20,cluster_4245960164_4245960168_4245960171,121,-38.00,-0.3140,0.1704,0.544,,,
20,cluster_5019371995_53129841,121,-136.37,-1.1270,0.2395,0.544,,,
20,cluster_5019372000_53129844,121,-89.94,-0.7433,0.1279,0.544,,,
20,cluster_5019372003_53129846,121,-225.09,-1.8602,0.1616,0.544,,,
20,joinedS_7013287371_cluster_1804700801_53030309_7625804249_7625804251,121,-354.17,-2.9270,0.4778,0.544,,,
